Model Name,Feature Count,CV Score (Mean +/- Std)
Naive Bayes,92,0.7379 +/- 0.0169
Logistic Regression,74,0.7310 +/- 0.0910
Logistic Regression,69,0.7310 +/- 0.0856
SVM(linear),21,0.7310 +/- 0.0768
Logistic Regression,80,0.7310 +/- 0.0768
ANN,115,0.7310 +/- 0.0736
ANN,86,0.7310 +/- 0.0736
Naive Bayes,4,0.7310 +/- 0.0669
Logistic Regression,100,0.7310 +/- 0.0669
ANN,108,0.7310 +/- 0.0669
ANN,93,0.7310 +/- 0.0669
ANN,89,0.7310 +/- 0.0669
SVM(linear),53,0.7310 +/- 0.0669
Logistic Regression,61,0.7310 +/- 0.0669
Logistic Regression,70,0.7310 +/- 0.0632
Naive Bayes,3,0.7310 +/- 0.0593
ANN,96,0.7310 +/- 0.0552
ANN,12,0.7310 +/- 0.0552
SVM(linear),55,0.7310 +/- 0.0552
ANN,97,0.7310 +/- 0.0552
XGBoost,42,0.7310 +/- 0.0552
Logistic Regression,99,0.7310 +/- 0.0507
Logistic Regression,91,0.7310 +/- 0.0507
ANN,116,0.7310 +/- 0.0457
Random Forest,7,0.7310 +/- 0.0457
XGBoost,34,0.7310 +/- 0.0402
ANN,122,0.7310 +/- 0.0402
SVM(linear),9,0.7310 +/- 0.0402
SVM(linear),38,0.7310 +/- 0.0402
Random Forest,118,0.7310 +/- 0.0402
XGBoost,37,0.7310 +/- 0.0402
ANN,79,0.7310 +/- 0.0402
Naive Bayes,139,0.7310 +/- 0.0402
Naive Bayes,116,0.7310 +/- 0.0402
ANN,131,0.7310 +/- 0.0402
XGBoost,7,0.7310 +/- 0.0338
Random Forest,127,0.7310 +/- 0.0338
Naive Bayes,119,0.7310 +/- 0.0338
XGBoost,33,0.7310 +/- 0.0258
Naive Bayes,96,0.7310 +/- 0.0258
Naive Bayes,85,0.7310 +/- 0.0258
Naive Bayes,86,0.7310 +/- 0.0258
XGBoost,94,0.7310 +/- 0.0138
XGBoost,10,0.7241 +/- 0.1023
ANN,87,0.7241 +/- 0.0951
ANN,92,0.7241 +/- 0.0899
Logistic Regression,83,0.7241 +/- 0.0899
Logistic Regression,71,0.7241 +/- 0.0845
ANN,80,0.7241 +/- 0.0786
Logistic Regression,72,0.7241 +/- 0.0786
XGBoost,13,0.7241 +/- 0.0786
Logistic Regression,67,0.7241 +/- 0.0786
Logistic Regression,79,0.7241 +/- 0.0755
Logistic Regression,86,0.7241 +/- 0.0723
Logistic Regression,102,0.7241 +/- 0.0654
ANN,103,0.7241 +/- 0.0617
ANN,99,0.7241 +/- 0.0617
SVM(linear),90,0.7241 +/- 0.0577
ANN,137,0.7241 +/- 0.0577
XGBoost,103,0.7241 +/- 0.0577
Logistic Regression,117,0.7241 +/- 0.0577
XGBoost,43,0.7241 +/- 0.0577
ANN,84,0.7241 +/- 0.0577
Logistic Regression,66,0.7241 +/- 0.0577
Logistic Regression,93,0.7241 +/- 0.0488
ANN,6,0.7241 +/- 0.0488
ANN,83,0.7241 +/- 0.0488
XGBoost,30,0.7241 +/- 0.0488
ANN,95,0.7241 +/- 0.0488
Naive Bayes,112,0.7241 +/- 0.0436
SVM(linear),40,0.7241 +/- 0.0436
SVM(linear),41,0.7241 +/- 0.0436
Naive Bayes,115,0.7241 +/- 0.0436
SVM(linear),39,0.7241 +/- 0.0436
XGBoost,26,0.7241 +/- 0.0378
XGBoost,35,0.7241 +/- 0.0378
ANN,91,0.7241 +/- 0.0378
Naive Bayes,120,0.7241 +/- 0.0308
Naive Bayes,117,0.7241 +/- 0.0308
Naive Bayes,121,0.7241 +/- 0.0308
XGBoost,92,0.7241 +/- 0.0218
XGBoost,36,0.7241 +/- 0.0218
SVM(linear),7,0.7241 +/- 0.0218
Logistic Regression,81,0.7172 +/- 0.0935
ANN,13,0.7172 +/- 0.0768
Naive Bayes,2,0.7172 +/- 0.0768
Logistic Regression,89,0.7172 +/- 0.0736
ANN,88,0.7172 +/- 0.0703
Logistic Regression,73,0.7172 +/- 0.0703
ANN,100,0.7172 +/- 0.0703
Logistic Regression,119,0.7172 +/- 0.0703
Logistic Regression,84,0.7172 +/- 0.0703
ANN,102,0.7172 +/- 0.0669
Logistic Regression,63,0.7172 +/- 0.0669
Logistic Regression,90,0.7172 +/- 0.0669
SVM(linear),57,0.7172 +/- 0.0632
XGBoost,8,0.7172 +/- 0.0593
Logistic Regression,97,0.7172 +/- 0.0593
XGBoost,78,0.7172 +/- 0.0593
SVM(linear),8,0.7172 +/- 0.0593
XGBoost,32,0.7172 +/- 0.0593
XGBoost,79,0.7172 +/- 0.0593
Logistic Regression,59,0.7172 +/- 0.0593
XGBoost,60,0.7172 +/- 0.0552
XGBoost,77,0.7172 +/- 0.0552
Naive Bayes,113,0.7172 +/- 0.0507
Naive Bayes,111,0.7172 +/- 0.0507
Naive Bayes,114,0.7172 +/- 0.0507
XGBoost,61,0.7172 +/- 0.0507
XGBoost,105,0.7172 +/- 0.0457
XGBoost,104,0.7172 +/- 0.0457
ANN,139,0.7172 +/- 0.0457
XGBoost,5,0.7172 +/- 0.0457
SVM(linear),59,0.7172 +/- 0.0457
Logistic Regression,94,0.7172 +/- 0.0457
Logistic Regression,92,0.7172 +/- 0.0457
SVM(linear),5,0.7172 +/- 0.0402
XGBoost,25,0.7172 +/- 0.0402
Logistic Regression,115,0.7172 +/- 0.0338
XGBoost,91,0.7172 +/- 0.0338
Logistic Regression,7,0.7172 +/- 0.0258
SVM(linear),6,0.7172 +/- 0.0258
Logistic Regression,6,0.7172 +/- 0.0258
Logistic Regression,77,0.7103 +/- 0.0889
Logistic Regression,88,0.7103 +/- 0.0804
Logistic Regression,75,0.7103 +/- 0.0774
Logistic Regression,87,0.7103 +/- 0.0774
Logistic Regression,95,0.7103 +/- 0.0710
Logistic Regression,76,0.7103 +/- 0.0710
XGBoost,14,0.7103 +/- 0.0640
XGBoost,83,0.7103 +/- 0.0640
ANN,101,0.7103 +/- 0.0640
Logistic Regression,82,0.7103 +/- 0.0640
XGBoost,18,0.7103 +/- 0.0601
XGBoost,16,0.7103 +/- 0.0601
XGBoost,56,0.7103 +/- 0.0560
Logistic Regression,96,0.7103 +/- 0.0560
XGBoost,19,0.7103 +/- 0.0560
XGBoost,120,0.7103 +/- 0.0560
