,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,Diagnosis
RNA368_FPKM,0.374581324,36.94774049,0.0,24.79955677,0.611325538,0.0,0.0,0.302049292,0.239898969,0.069749569,1.138000522,0.091238522,9.5221826,0.0,0.045217723,0.535236163,0.378713495,0.0,36.79150929,3.344513374,1.084322473,4.900335393,0.083575675,0.060782708,0.254709461,0.385207845,1.229665986,0.0,1.513056503,0
RNA37_FPKM,0.043625862,36.33977503,0.035383277,15.46615177,0.269955835,0.150932407,0.016824365,0.495818535,0.69189447,0.036564337,1.278744199,0.468886247,2.640094316,0.0,0.110653066,0.842043954,0.706084153,0.095646337,38.23645766,2.338408071,0.770348197,6.439206729,0.087586205,0.021239364,0.591512288,1.212244857,1.041617742,0.0,0.614266108,0
RNA379_FPKM,0.0,42.8802511,0.196938138,30.66430673,0.187718343,0.209924444,0.0,0.632112559,0.568608844,0.101728185,1.363442099,0.346006541,3.352512597,0.345653184,0.065951366,0.780629966,0.613701005,0.0,26.1186748,1.765428501,0.153039828,6.033340907,0.0,0.059091511,0.636890328,0.281061428,0.896801549,0.107529986,0.427101556,1
RNA38_FPKM,0.162396441,23.46236412,0.032916493,8.660623293,0.282447422,0.0,0.015651436,0.320247848,0.467996511,0.102070239,0.832523748,0.622992646,2.135230704,0.231028802,0.132322236,0.261022014,0.246252192,0.0,31.18074235,1.739891832,0.477646395,8.533531574,0.0,0.118580405,0.408176345,0.563706091,0.784237073,0.071936364,1.190223769,0
RNA383_FPKM,0.0,36.72753456,0.322452132,29.08409096,0.307356313,0.101855975,0.017028786,0.975711515,0.286455117,0.0,1.035301692,0.242109132,3.717453767,0.0,0.095999407,1.136498245,0.580608835,0.096802749,30.90448099,1.690385617,0.556863575,4.405684118,0.0,0.064512303,0.502077814,0.613355604,1.204749706,0.156550024,0.362630083,0
RNA385_FPKM,0.0,51.96121228,0.140807655,41.36524707,0.246054772,0.033367759,0.0,0.684758942,0.625442807,0.048494702,1.003089321,0.183957872,3.119831229,0.0,0.178150793,1.116580002,0.321784812,0.126818522,33.29990963,1.993038809,0.997029971,6.49308898,0.058110336,0.098613556,0.31621855,0.535776229,0.887795321,0.0,1.289449595,1
RNA386_FPKM,0.0,39.07211,0.078017612,36.21146132,0.223131892,0.332733154,0.018557344,0.500874302,0.207958221,0.040330615,0.845525221,0.200365255,11.13190014,0.0,0.069677852,0.618665977,0.389059856,0.0,26.6816464,1.877507166,0.970241428,5.330488479,0.096607945,0.046831289,0.462602062,0.890504058,1.585207202,0.085219818,0.620529991,0
RNA39_FPKM,0.13505147,29.71734936,0.146022015,14.40453213,0.591593226,0.0,0.0,0.539739168,0.551363026,0.264087379,1.142904375,0.493416834,3.432971099,1.281224287,0.130429473,1.736893439,0.2730362,0.049339191,42.04169886,2.170368215,0.87009728,5.549430872,0.09041015,0.065750158,0.334526005,1.250036945,0.664955814,0.119646855,0.95017783,1
RNA392_FPKM,0.099934371,44.87074606,0.040545901,31.79939264,0.424976813,0.0,0.0,0.741126831,0.180028751,0.167516875,0.85400959,0.164331949,2.49702526,0.284576824,0.018105856,1.606993484,0.707354365,0.218983506,32.96378278,1.721059828,0.545987953,5.676295305,0.0,0.097306615,0.458766112,0.462575007,1.135754849,0.044288902,0.937692365,0
RNA409_FPKM,0.0,43.5516158,0.0,27.95052687,0.18750419,0.335482239,0.0,0.811169206,0.209676399,0.162615641,0.663131366,0.319001495,5.48497095,0.276186422,0.122969529,0.935818876,0.392322568,0.159419235,27.77723515,3.340961256,0.692987599,5.307850378,0.097406383,0.094459604,0.360459326,1.122657666,1.98430004,0.042983097,0.739453325,0
