,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,Diagnosis
RNA365_FPKM,6.041184748,5.234271685,19.3919311,2.985911446,5.906269952,4.098256066,0.520565426,1.771152123,8.624010111,11.66767953,4.958773496,5.272590465,2.660720161,0.780980464,2.355767145,0.835824597,0.554103457,29.47091723,3.646242529,8.069969193,1.856215003,3.707439836,7.934128843,0.285931209,1.518130391,5.583574353,5.889417862,7.030120621,1.447949181,3.758984037,0
RNA368_FPKM,8.519288055,8.688201657,3.409513833,0.328047971,1.892916334,2.994737293,0.0,2.724566858,5.113407805,3.141166973,11.00289771,3.862677064,2.790978931,2.202493106,8.154166472,0.857167101,2.557073108,12.41873991,7.853040364,5.390684412,3.671519409,3.386572079,9.872351453,0.0,0.389138537,12.88485883,15.58350756,1.738247005,0.0,3.780885329,0
RNA37_FPKM,2.030663974,3.333556816,4.320660525,1.720605604,0.992552972,3.801954005,0.0,0.952478102,3.188731038,1.882544955,1.846342167,2.835732274,2.536741787,0.419990344,0.380086274,0.674108221,1.042858788,5.581856281,1.764885895,1.199175951,0.855702252,1.121609728,3.200227706,1.152734432,0.203995422,1.28699454,6.461267339,3.038178364,0.0,3.032256946,0
RNA379_FPKM,9.601830121,7.108835612,8.081008536,4.546452966,8.559159311,7.586656721,2.628505793,7.285358616,4.636197138,9.490769594,0.641884357,9.014282348,4.342245765,7.301263703,0.528454965,0.624942529,2.900782334,5.175194584,3.068052277,14.7723392,7.437918371,3.119720964,13.09045137,1.92380326,1.13540865,4.176193333,39.64476628,7.887497055,0.0,9.7318976,1
RNA38_FPKM,4.34386653,3.307175346,0.831387755,0.480059381,1.661744011,1.076240265,0.390646557,0.442965292,0.404397848,2.407409337,0.143060143,3.767736204,1.088915181,0.585899245,1.060463716,0.836159202,0.554325281,4.037847739,1.778227045,0.478003452,1.790595819,2.781736273,2.801372058,0.0,1.328827266,2.194421379,4.41881176,0.376800856,0.0,3.037162643,0
RNA383_FPKM,4.726709281,15.06928892,13.26874575,1.04484516,1.20559057,31.11650399,0.425068241,4.337748922,6.307396256,3.810390111,4.204134799,6.149656395,4.344659211,1.062571704,10.00100844,0.454918539,1.658645845,6.904400763,6.697856127,1.386999226,3.030966947,2.459448174,5.143882578,0.2332502,1.445894946,22.79299443,10.96262321,1.230007594,4.334088264,5.193324421,0
RNA385_FPKM,2.423035283,6.924299075,4.938287369,1.140629435,1.184461416,13.25920997,0.695985732,0.631450556,4.900115026,3.119805338,1.019985937,15.84391133,1.681720335,6.403393518,4.409256689,0.744861134,7.407383047,5.618920844,2.047405426,1.817058733,0.850869787,1.610993779,6.738767399,0.611433391,8.794447879,3.554703429,7.432774983,1.611267344,0.387135402,15.46259206,1
RNA386_FPKM,8.727473447,7.347377682,3.612086494,0.56886636,3.500573292,4.55415972,2.545638782,3.936095187,0.95841615,7.001821802,13.22547899,8.258999328,11.18251882,2.082857145,4.60734073,0.743041734,3.447995713,9.113249591,11.66949147,2.643278872,4.243451445,6.180037303,7.67601114,0.508126235,4.048599082,10.40071635,8.377262689,4.464229478,2.145219761,9.25394076,0
RNA39_FPKM,6.073047857,15.35590468,6.45317427,1.774426755,2.252031887,2.727527006,1.515903142,2.946765826,5.082128761,11.16283628,1.745324713,4.386524789,4.628493093,0.433083666,25.67367689,1.390490534,2.304772181,6.822341452,2.73001461,2.29673175,2.867844191,2.313348873,12.23066323,0.475518377,0.420930808,4.64524743,10.38719119,3.342083724,1.606091397,5.292191716,1
RNA392_FPKM,2.324838289,11.95890489,2.558620911,1.181993291,0.681919206,5.677600946,0.480786622,1.36307483,2.157245881,1.885802488,0.352268659,5.101651329,6.032061995,1.682868362,2.175739397,1.029099454,2.046864039,11.59789526,2.188970085,2.353674494,1.469590589,0.642087477,2.801881709,1.055790794,4.206104258,13.0154018,4.351478793,2.782698706,1.114338547,4.539822542,0
RNA409_FPKM,10.60552654,12.34801621,2.814536228,1.147132816,2.426772196,7.347579893,0.700021994,6.085781886,0.483167354,12.81306327,9.745451197,9.003110552,9.324450614,0.93343939,6.124292582,0.998989909,3.807863526,10.56778587,12.09382459,5.711288011,3.09028221,6.439494226,8.995352357,1.02490031,3.402116333,10.24939612,10.55887372,3.376277475,2.163156124,8.812862707,0
RNA41_FPKM,4.38136045,4.795155604,2.37603977,0.0,1.489948798,4.497063384,0.0,2.903980359,0.0,6.843251126,3.031017909,1.900192583,3.112032577,0.787915895,1.24787954,0.632475647,1.257884527,4.266721943,1.793634928,4.339420614,0.401408302,2.104311499,6.357631572,0.432641801,4.40371433,15.49388048,6.239670638,0.950096292,0.0,3.063475295,0
RNA418_FPKM,8.997231403,8.53402638,3.227299592,0.847032827,1.759183914,5.208265309,1.447372933,3.282435044,6.421936907,8.109319541,17.11859161,7.977313692,6.340462978,1.240576577,2.619710629,1.327695719,3.667463901,23.816086,7.819737285,5.397859549,3.159387148,6.441982813,7.784982897,1.816249276,3.014313248,8.659057158,9.542918881,5.584100143,1.150023542,7.349272331,0
RNA431_FPKM,6.436972538,4.900957019,3.285557778,0.474174224,2.736137165,1.594889992,2.894129338,1.312756344,0.0,3.243127287,5.513476547,1.395776301,5.916882129,1.736422955,4.452707919,0.619356781,0.821389445,12.82193502,8.918829679,5.666836589,1.179374684,3.349308183,2.075699443,0.317710395,3.094155063,5.616839271,18.85829493,2.233347502,2.146404534,8.358623337,1
RNA44_FPKM,5.715098283,11.39275179,5.091732642,1.210573347,1.596331285,5.150750883,1.266434922,2.15419258,1.748230816,9.697579516,55.3656527,7.125735013,4.511321755,0.0,3.056354663,0.90365703,8.6858608,5.818472154,4.582653359,8.265725143,4.94556663,2.254727595,4.541286637,1.158809233,3.07734799,13.36731676,9.742020531,2.646653954,0.0,5.861375283,1
RNA442_FPKM,5.850758895,13.02722952,3.996584117,0.0,3.550315419,5.748088657,1.669053122,0.709636764,1.727946575,5.844726575,23.99936949,3.421007079,4.45914244,1.043231723,11.51724766,1.563005398,2.664389411,10.2698038,6.429160785,11.06371142,2.125315172,4.643007092,8.977542202,1.832591468,5.069405703,14.70421046,12.46135998,1.609896808,0.193380335,14.59998425,0
RNA454_FPKM,5.749240963,4.650819479,3.301322365,0.423522292,0.733133904,1.627967194,0.516897286,1.465723686,0.892179635,4.924397095,9.470119748,2.992162489,1.441233968,0.516897286,2.105365536,1.383379659,1.283838034,4.071782726,2.896654255,4.217875751,0.526571834,1.150661585,3.476134462,0.567544282,2.763747667,2.112429281,3.976947773,1.994774992,1.19825586,1.722757805,0
