,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,Diagnosis
R_JS024_FPKM,1.818203896,3.482193755,3.501724116,1.348034621,0.66652285,1.665100353,0.0,0.79943068,3.082161917,1.580293714,6.888036978,5.893941851,0.655143191,1
R_JS025_FPKM,2.104416353,2.072828398,4.477504944,0.534979482,0.0,1.88426386,0.0,1.727305309,2.553326943,9.75412901,8.290979599,3.568193601,0.606745023,1
R_JS026_FPKM,4.230761664,3.52778136,4.286558957,0.682837877,1.575779716,2.952065448,0.0,2.834766895,2.732104545,6.770241646,2.442310172,4.421061492,3.678345631,1
R_JS027_FPKM,2.053694483,2.247654518,1.854487879,1.472398654,2.007830338,1.41459788,0.490037702,1.667187862,2.706197465,2.74601729,2.872732693,2.521164534,2.884454594,1
R_JS028_FPKM,0.767614841,1.890415759,4.646832034,3.740233919,2.251611822,2.030970911,2.778632806,0.675148485,4.109599476,3.558352388,1.454115442,3.445821131,1.106584835,1
R_JS029_FPKM,5.211803608,9.295261123,6.089890251,0.98126618,2.453290463,2.357019637,2.594950279,3.16897192,2.066662145,8.500015383,5.26516112,6.546425074,5.00841615,1
R_JS030_FPKM,3.864588843,6.678152361,4.924804785,0.861668471,1.391925992,1.1589797,1.682628195,1.907980186,4.210144352,4.949759823,3.390487515,5.072048129,3.71377562,1
R_JS031_FPKM,4.757623939,1.983503242,2.825834727,0.959759633,1.993578366,1.659942317,0.937088146,1.328238778,0.646794536,2.100179904,0.858246595,5.197516769,3.048049539,1
R_JS032_FPKM,2.265921974,3.624544555,7.289477179,0.590771014,1.022488293,3.972935488,2.523414569,0.817584885,1.741704621,2.221820579,7.659801805,3.477174008,7.034931041,1
R_JS033_FPKM,1.299112833,6.397891017,3.653751682,2.201507338,1.693395813,1.586313397,1.791177199,4.316113681,1.081705328,4.767065451,5.905800866,3.887253372,7.282144583,1
R_JS034_FPKM,5.072667622,2.664822706,7.592746478,0.859590092,1.190243392,2.477711275,1.888567375,0.475944609,2.896597192,1.881133752,5.688560184,3.238407472,2.729886739,1
R_JS035_FPKM,3.944362046,7.77058263,8.826751284,2.172349671,1.735260104,2.247669624,3.6711414,2.312617033,3.096988494,5.713649772,2.241541537,2.950890125,3.790435722,1
R_JS036_FPKM,4.349518021,7.933916119,11.96746971,1.075006757,1.948992275,2.508080301,1.499239889,2.125097392,2.457849985,3.990391741,2.334443973,5.242445357,4.005799621,1
R_JS037_FPKM,5.517079716,2.767648536,6.746651516,2.33734345,2.247488749,2.245588232,2.139429027,3.234716381,3.445817824,6.659837986,9.231600144,5.503112426,6.185578439,1
R_JS038_FPKM,3.918342085,4.764897474,3.513779143,0.184447644,0.851296819,2.480897032,1.350679599,2.042098917,1.087639641,5.549704117,1.484448828,3.908422232,3.137859312,1
R_JS039_FPKM,3.542153154,9.90729279,11.11772314,2.834587935,0.384739221,3.204003808,0.0,1.153882022,22.33358516,4.10473042,2.98218816,16.68480138,14.56150567,1
R_JS040_FPKM,3.473390303,10.50989596,7.195640121,1.038660618,2.596851087,4.989766048,2.746800493,2.395959507,3.20832748,7.813339297,7.121281441,3.260809067,3.730507744,1
R_JS041_FPKM,3.168098231,4.62316093,3.719157027,2.14741541,1.238893506,1.719263371,1.528955186,3.962763531,3.316598966,8.810986733,3.840744853,6.109376109,3.04446513,1
