,MIR4513,MIR553,MIR1244-1,MIR4312,MIR4639,MIR4721,MIR5587,MIR1244-2,MIR3174,MIR5194,MIR6774,MIR635,MIR1255A,MIR4632,MIR8075,MIRLET7B,MIR590,Diagnosis
RNA205_FPKM,0.962820012,1.217684133,550.3435898,1.089506855,1.200036536,0.930365405,3.124623434,153.901092,0.0,2.070063025,4.731572629,5.913696975,0.0,4.072255132,1.035031513,10.97292033,5.121028686,0
RNA209_FPKM,0.0,0.0,337.4120984,1.140427315,2.511147671,0.973848045,1.635329735,93.78257819,0.0,5.776270998,1.238178228,6.189344964,0.0,4.261338774,1.08340595,8.351235177,7.145902265,0
RNA213_FPKM,0.912225857,0.0,559.3397292,2.064511151,2.273954311,0.881476671,2.960431084,177.2160896,0.901740503,6.537618644,3.362203874,8.00524732,0.0,2.572177827,1.961285593,1.890395753,4.852665386,0
RNA219_FPKM,0.0,1.199477567,514.3287112,1.07321677,3.546281502,1.832909541,3.0779047,159.2881977,0.937522696,6.117335592,4.660827117,6.658324453,0.0,5.348490135,2.039111864,7.861636102,5.04522523,0
RNA23_FPKM,2.787534049,3.525410708,282.0048883,5.256357264,18.5278574,0.897501258,9.044542716,98.70143123,0.91813347,7.324491736,7.990478118,14.67527943,0.0,1.309469048,0.998470149,4.813050024,14.82657097,1
RNA246_FPKM,0.82032158,0.0,292.131763,2.78477589,5.112148977,1.585340581,2.662175693,101.250459,0.810892596,1.763691397,7.054765588,9.357692864,0.624315539,8.095632642,0.881845698,5.949802303,7.27227766,1
RNA253_FPKM,1.886683391,0.0,327.3215809,2.134931206,10.57999293,0.911068156,3.061410785,128.8289643,2.797009626,2.027831979,5.794208701,9.104839633,0.717566954,3.989177663,1.013563323,5.863610541,4.181387723,1
RNA26_FPKM,3.984937208,1.259943382,264.0867074,5.636588814,8.69178333,0.96265337,1.616531132,92.73312021,0.0,2.855871666,11.015505,6.119724998,0.0,1.404527049,3.212855624,1.032242771,23.84800051,0
RNA277_FPKM,2.259912619,0.0,532.6355858,1.277956451,2.816702685,2.183735789,3.667028024,443.4815006,0.0,2.428976462,1.387495575,3.965325161,0.0,3.186106316,3.643464694,1.170176991,3.004919335,0
RNA288_FPKM,1.76026391,1.113108061,0.890486449,2.988959817,14.26320767,0.850464586,0.0,130.0355584,1.740030992,6.309060705,3.245156372,4.635050923,0.0,2.481683545,2.839511826,5.472710728,16.39037028,0
RNA29_FPKM,5.134360743,0.0,0.865794164,4.841612104,9.599022258,0.826882067,1.388537811,147.1887238,1.691781701,6.132708665,2.102642971,8.260383099,0.0,1.206434491,5.519437798,0.886656674,5.310799256,0
RNA295_FPKM,0.778865663,0.0,486.8004699,0.0,1.940634473,0.752611764,1.263819755,135.4848692,1.539123892,1.67405188,2.869803223,6.148954709,0.0,5.488360725,1.673797233,5.646913047,6.212345995,0
RNA3_FPKM,2.196995222,0.0,430.0278849,1.24303677,13.68826842,1.061469602,3.564935643,137.7868017,1.085871202,1.574513242,4.047195308,5.782816889,0.83602473,1.54870155,2.361769864,6.827904279,2.920656408,0
RNA302_FPKM,0.872572034,2.206248338,433.341337,0.987384144,6.523654548,0.843159493,1.415871602,129.7372116,0.0,3.125758074,2.143212671,9.951510405,0.0,7.3792158,0.938014936,9.942447381,3.093296639,0
RNA303_FPKM,1.749744318,1.106455966,858.7082691,0.989986917,2.180840744,1.690764172,1.41960388,505.4870375,0.864816157,1.880975141,2.149685876,3.839413339,0.0,2.466852644,1.880975141,0.906494044,2.326979556,1
RNA31_FPKM,1.933759609,0.0,494.0782166,1.094650907,1.205702449,1.868576701,3.137798611,111.5348255,0.95624677,0.693278908,2.375761805,5.091771333,0.0,4.090111399,1.039918362,1.002330951,2.572131911,1
RNA314_FPKM,1.10011001,1.391315601,738.8048828,1.244861327,2.740842988,2.124923215,3.568267286,235.8829654,0.0,1.575984718,5.404815541,3.860582529,0.0,3.100297806,2.363977077,5.696937267,1.949671816,1
RNA319_FPKM,0.892783057,1.129107984,764.2964587,0.0,2.2254882,0.862689246,2.897333694,231.2764378,1.765042365,1.919483572,4.388484589,3.134631849,0.0,3.776033257,0.959741786,0.925052324,8.708514135,0
RNA32_FPKM,2.31228357,0.0,107.6314082,3.924797113,4.322964936,1.117170714,5.628010954,46.79617118,2.285705598,5.800737413,4.261208294,10.14666398,0.0,3.259940771,2.485704838,4.792818181,10.25126876,1
RNA328_FPKM,1.850094897,1.169912949,353.8439526,2.093528436,9.224757481,0.893866074,1.501020388,149.7746579,0.914414719,1.989482195,4.547027771,2.436100647,0.0,3.913735466,2.984223293,6.710291393,10.6634463,0
RNA331_FPKM,0.0,0.0,803.7564727,1.836148823,3.034175924,1.567947309,5.267339,168.3043162,0.802423313,5.233953469,6.978958654,4.272615077,0.0,2.287660828,1.744341382,0.841094316,3.596963395,0
RNA334_FPKM,0.802198333,1.014544951,1066.89547,0.907750745,3.000534142,0.77515794,2.604675456,329.6496346,0.0,3.450614264,1.972111417,4.225241955,0.610522625,1.130968142,0.862363208,4.157646446,2.846346375,0
RNA335_FPKM,0.0,1.325989034,643.6030324,1.186411241,9.14331895,1.013115217,3.400765743,159.0457547,0.0,3.755403526,6.437834616,4.598453297,0.797940304,2.954763679,1.127090679,2.171573306,7.432601419,1
RNA336_FPKM,0.912605315,0.0,692.6462865,1.032684962,9.101689804,0.881843338,2.961662532,192.0941069,0.902115599,4.579437828,4.485832832,4.005024034,0.0,2.573247774,1.962101428,8.512056067,8.092625883,0
RNA35_FPKM,1.721868805,0.0,359.7295144,0.974215245,4.292194703,0.831914142,2.793975797,95.81228655,0.851038605,1.234005977,4.230877636,11.33190164,0.0,3.641329113,0.925504483,10.70367813,4.579815998,0
RNA358_FPKM,2.306130925,1.458288673,269.4398416,2.609569205,4.309939756,1.114198087,3.742023765,59.48705533,2.279623673,2.478215359,2.833246565,7.082044513,0.0,8.126444307,0.0,3.582961966,3.065833434,0
RNA365_FPKM,3.459925078,0.0,233.3559631,3.915178377,4.312370387,1.114810442,5.61421805,50.1713482,1.140438269,4.959225945,4.250765095,12.14401424,0.0,8.129327606,1.240226617,5.974566072,8.179820007,0
RNA368_FPKM,1.773747749,1.122126336,542.0847759,1.004007774,1.105863635,0.857354953,1.439709261,159.7538121,0.877064262,1.271185887,2.179175806,3.113790695,0.0,5.002483411,0.953807385,12.86743097,2.359246364,0
RNA37_FPKM,5.581964692,1.175973612,221.1945899,3.157664826,9.276308473,0.898496692,6.038351742,72.4765,0.0,3.333323733,3.428321811,9.796917622,0.707665536,3.934139783,0.99957757,0.96344826,9.072657849,0
